"","Device","Code","Input","cross_section_SDC_high","number_SDCs_high","cross_section_DUE_high","number_DUE_high","cross_section_SDC_thermals","number_SDCs_thermals","cross_section_DUE_thermals","number_DUE_thermals","SDC_DUE_ratio_high","SDC_DUE_ratio_thermal","FIT_SDC_high","FIT_DUE_high","FIT_SDC_high_LANLsupercomputer","FIT_DUE_high_LANLsupercomputer","FIT_SDC_high_ORNLsupercomputer","FIT_DUE_high_ORNLsupercomputer","FIT_SDC_high_airplane","FIT_DUE_high_airplane","FIT_SDC_thermals","FIT_DUE_thermals","FIT_SDC_thermals_storm","FIT_DUE_thermals_storm","FIT_SDC_thermals_LANLsupercomputer","FIT_DUE_thermals_LANLsupercomputer","FIT_SDC_thermals_ORNLsupercomputer","FIT_DUE_thermals_ORNLsupercomputer","FIT_SDC_thermals_airplane","FIT_DUE_thermals_airplane","cross_section_SDC_high_err","cross_section_DUE_high_err","cross_section_SDC_thermals_err","cross_section_DUE_thermals_err","FIT_SDC_high_err","FIT_DUE_high_err","FIT_SDC_high_LANLsupercomputer_err","FIT_DUE_high_LANLsupercomputer_err","FIT_SDC_high_ORNLsupercomputer_err","FIT_DUE_high_ORNLsupercomputer_err","FIT_SDC_high_airplane_err","FIT_DUE_high_airplane_err","FIT_DUE_thermals_err","FIT_SDC_thermals_err","FIT_SDC_thermals_storm_err","FIT_DUE_thermals_storm_err","FIT_DUE_thermals_airplane_err","FIT_SDC_thermals_airplane_err","FIT_DUE_thermals_ORNLsupercomputer_err","FIT_SDC_thermals_ORNLsupercomputer_err","FIT_DUE_thermals_LANLsupercomputer_err","FIT_SDC_thermals_LANLsupercomputer_err"
"1","XeonPhi","MxM",4096,27.4132492113565,132,4.76340694006309,23,3.27477867100845,60,1,10,0.173762945914845,0.305364148378326,356.372239747634,61.9242902208202,867.629337539432,150.761829652997,195.230009588959,33.9237415971609,125624.778233438,21828.9315457413,13.0991146840338,4,26.1982293680676,8,45.8469013941182,14,10.3155528136766,3.15,4617.56891726875,1410.04,0.89320133368834,0.891971536418218,0.457900821549566,0.619806421393002,3.22048320792613,3.21604911081028,5.02500178131393,5.01808314691434,2.38364948873117,2.38036757957631,60.4653762722041,60.3821249918132,1.239612842786,0.915801643099132,1.29513910411436,1.75307729435983,23.2740406118061,17.194404493216,1.10004727171154,0.812693337910228,2.31910327497505,1.71330799136079
"2","XeonPhi","HotSpot",1024,44.1640378548896,49,47.9495268138801,53,3.9642057596418,14,8.29652996845426,16,1.08571428571429,2.09286058077972,574.132492113565,623.343848580442,1397.79179810726,1517.60252365931,314.524756529968,341.484021375394,202387.444794953,219734.940063091,15.8568230385672,33.186119873817,31.7136460771344,66.3722397476341,55.4988806349852,116.15141955836,12.4872481428717,26.1340694006309,5589.68868932533,11698.4391167192,1.86076881095512,1.86427638958351,1.04296599198905,1.41138118360203,6.70909735968286,6.72174411428022,10.4683750874531,10.4881081400035,4.96575683173769,4.97511736187675,125.964977957861,126.202423932884,2.82276236720406,2.08593198397811,2.94995330192966,3.99198882305636,52.9980681904944,39.1638937843375,2.50495310596655,1.85108100590006,5.28090483117828,3.90242140807985
"3","XeonPhi","LavaMD",15,21.7665615141956,162,10.7570977917981,34,3.7573776330518,59,1.16719242902208,10,0.494202898550725,0.31064017062189,282.965299684543,139.842271293375,688.91167192429,340.46214511041,155.015772861199,76.6092442690852,99748.0977917981,49295.7990536278,15.0295105322072,4.66876971608833,30.0590210644144,9.33753943217666,52.6032868627251,16.3406940063091,11.8357395441132,3.67665615141956,5298.05275770835,1645.7880126183,0.718444920064341,1.10246337643548,0.494620928558765,0.669618281958552,2.59038999788861,3.97498823305928,4.04185133512009,6.20227514388672,1.91728426929378,2.9420984547054,48.6352189412445,74.631396492916,1.3392365639171,0.989241857117531,1.39899925080276,1.89396651191751,25.1445008486437,18.5732628468956,1.18845455408667,0.877865062723341,2.50548219100909,1.85070205099489
"4","XeonPhi","LUD",4096,47.0031545741325,48,10.7570977917981,11,2.8438867406126,35,1.18927444794953,8,0.228859060402685,0.418186290953819,611.041009463722,139.842271293375,1487.64984227129,340.46214511041,334.744205164038,76.6092442690852,215398.066246057,49295.7990536278,11.3755469624504,4.75709779179811,22.7510939249008,9.51419558359621,39.8144143685764,16.6498422712934,8.95824323292968,3.74621451104101,4009.99405973339,1676.92454258675,1.9395409605754,1.93823881812545,0.558699390235607,0.755704697554119,6.99311438421728,6.98841944284602,10.9115340676634,10.9042084313441,5.17597281226391,5.17249783851721,131.297468502733,131.209319806323,1.51140939510824,1.11739878047121,1.58024050992155,2.13745566486019,28.3770887398647,20.979441079217,1.341242784958,0.991593050220887,2.82758806382314,2.09046170046115
"5","K20","MxM",4096,60.1036269430052,44,54.4041450777202,40,37.3683770683604,68,8.08290155440415,8,0.905172413793103,0.21630325394163,781.347150259067,707.253886010363,1902.27979274611,1721.89119170984,428.042351854922,387.452128834197,275432.683937824,249314.067357513,149.473508273441,32.3316062176166,298.947016546883,64.6632124352332,523.157278957045,113.160621761658,117.710387765335,25.4611398963731,52690.9064014708,11397.214507772,2.29076254307009,2.28582022330372,1.45296025079133,1.97012926642514,8.25946180895148,8.24164202161409,12.887448132171,12.8596434651904,6.11326333565327,6.10007397112824,155.073457565318,154.738886609073,3.94025853285029,2.90592050158266,4.10959218451622,5.57236705641319,73.9793377006859,54.5593829251657,3.4966325769572,2.57874862960618,7.37154872261916,5.4364794550623
"6","K20","YOLOv2",0,3.67875647668394,16,17.6165803108808,77,2.57615326759151,10,31.6580310880829,47,4.7887323943662,12.288877174486,47.8238341968912,229.015544041451,116.432642487047,557.564766839378,26.1991439497409,125.460689336788,16858.3797927461,80730.2694300518,10.304613070366,126.632124352332,20.6092261407321,253.264248704663,36.0661457462811,443.212435233161,8.11488279291325,99.7227979274611,3632.47915343473,44639.0901554404,0.939824148472369,0.93750051028405,0.99481407271809,1.60860381002178,3.38858415723641,3.3802061606028,5.28729396394223,5.27422156291119,2.50806986791293,2.50186887070135,63.6215135645038,63.4642145860115,3.21720762004356,1.98962814543618,2.81375910735508,4.54981864923566,60.4038762919076,37.3557651719716,2.85498854384606,1.76561982706515,6.01884432816069,3.72225342365231
"7","K20","HotSpot",1024,68.9119170984456,47,58.5492227979275,43,32.5557830519806,70,6.78756476683938,8,0.849624060150376,0.208490293598588,895.854922279793,761.139896373057,2181.0621761658,1853.0829015544,490.772696523316,416.972291031088,315797.81865285,268309.424870466,130.223132207922,27.1502590673575,260.446264415845,54.300518134715,455.780962727729,95.0259067357513,102.550716613739,21.380829015544,45904.9563346147,9570.7378238342,2.37330912138444,2.2870855542743,1.33666053053597,1.80537768930389,8.55708772967797,8.24620423730897,13.3518414189097,12.8667620062643,6.33355197806159,6.10345070760115,160.661458533867,154.824543347772,3.61075537860779,2.67332106107194,3.78064690114557,5.10637922683873,67.7928337142296,50.1922703575327,3.20422753456496,2.37233710247131,6.75510476710079,5.00132574768908
"8","TitanV","MxM",8096,82.9015544041451,22,7.25388601036269,2,29.7248453952866,202,2.70466321243523,10,0.0875,0.0909899841855561,1077.72020725389,94.300518134715,2623.83419689119,229.585492227979,590.403243937824,51.6602838445596,379907.150259067,33241.8756476684,118.899381581147,10.8186528497409,237.798763162293,21.6373056994819,416.147835534013,37.8652849740933,93.6332629951529,8.51968911917098,41913.22100117,3813.68331606218,3.80474949240458,3.73272879388587,0.751865554624204,1.01932498237271,13.7182193851603,13.4585450637564,21.4048862845265,20.999709842555,10.153577743632,9.96137908166485,257.562993921808,252.687543705742,2.03864996474541,1.50373110924841,2.12659692886144,2.8830864290744,38.276162068557,28.2329270058437,1.80912237618706,1.33442898219637,3.81396484981806,2.81322330632054
"9","TitanX","MxM",8096,55.440414507772,103,19.8445595854922,37,8.91745361858599,64,1.27461139896373,5,0.357943925233645,0.142934457916008,720.725388601036,257.979274611399,1754.68911917098,628.080310880829,394.83216938342,141.327776517617,254062.906735751,90940.2740932642,35.669814474344,5.09844559585492,71.3396289486879,10.1968911917098,124.844350660204,17.8445595854922,28.0899788985459,4.01502590673575,12573.966300351,1797.25305699482,1.43797287325055,1.43540991511914,0.731621591709556,0.989600641699374,5.18468492723113,5.17544405027149,8.08979563401143,8.07537685888203,3.83745878432482,3.83061912387074,97.3437539454627,97.1702541734177,1.97920128339875,1.46324318341911,2.06933835504129,2.79901329764875,37.1599982339916,27.4727560899624,1.75636690491002,1.29849951227762,3.7027465509707,2.73747733294337
"10","TitanX","LavaMD",25,36.8911917098446,150,1.72020725388601,7,18.1180010028414,65,NA,NA,0.0466292134831461,NA,479.585492227979,22.3626943005181,1167.60621761658,54.4445595854922,262.729443552332,12.2508673117098,169058.681865285,7883.07336787565,72.4720040113655,NA,144.944008022731,NA,253.652014039779,NA,57.0717031589504,NA,25547.1061340465,NA,0.972012352707992,0.971622221304475,1.03479550304184,NA,3.50464037807305,3.5032337392935,5.4683794342845,5.4661846200543,2.59396919841728,2.59292807086243,65.8004980859405,65.7740880916654,NA,2.06959100608369,2.92684366936893,NA,NA,38.8570878445922,NA,1.83657982655647,NA,3.87185023775697
"11","TitanX","HotSpot",1024,28.7046632124352,67,4.28497409326425,11,7.36043790740431,27,1,2,0.14927797833935,0.13586148169174,373.160621761658,55.7046632124352,908.502590673575,135.619430051813,204.427123213472,30.5164676710363,131542.850777202,19636.4508290155,29.4417516296173,4,58.8835032592345,8,103.04613070366,14,23.1853794083236,3.15,10378.5118669564,1410.04,1.28290618191487,1.22330240358124,1.02335429339889,1.38592929112563,4.6255840205038,4.41067954151049,7.21741628257607,6.8820953633128,3.42363871310391,3.26457657292019,86.8464948334772,82.8116095861543,2.77185858225127,2.04670858679778,2.89448304167489,3.92,52.0423369190893,38.4274647095497,2.45978047801018,1.81627369383761,5.1856725696866,3.82904115118278
"12","GPUembedded","CED",0,8.78669822554799,20,18.9953102718278,41,1.45418326693227,12,6.63559783008189,30,2.16182572614108,4.56310974068645,114.227076932124,246.939033533762,278.098998838594,601.20157010335,62.5765725763867,135.279644449367,40266.186889343,87048.4787109863,5.81673306772908,26.5423913203275,11.6334661354582,53.0847826406551,20.3585657370518,92.8983696211464,4.58067729083665,20.9021331647579,2050.45657370518,9356.45836432866,1.29913394042464,1.33409678900941,0.682299447838399,0.921797385981008,4.68409403589663,4.81015437920528,7.30871094632406,7.50540610316264,3.46694506164611,3.56024897086614,87.9450349804069,90.3118493989394,1.84359477196202,1.3645988956768,1.92983426546548,2.60723673002882,34.6139521255062,25.62068495953,1.63602806379489,1.21096139081304,3.44904999836475,2.55293076899633
"13","GPUembedded","SC",0,194.692815454051,112,5.21368400935005,3,64.1434262948207,52,6.78143514502874,3,0.0267790262172285,0.10572299511815,2531.00660090266,67.7778921215507,6162.02760912071,165.013098895929,1386.55144214898,37.1304974208436,892205.136884198,23892.3847517678,256.573705179283,27.125740580115,513.147410358566,54.2514811602299,898.00796812749,94.9400920304024,202.051792828685,21.3615207068405,90444.796812749,9562.09481189632,2.5841756074373,2.58385296861871,2.17685988760709,2.94683792412265,9.31737765741849,9.31621436661461,14.5381411120143,14.536325999814,6.8962826555841,6.89542164270159,174.936091745323,174.914250670046,5.89367584824529,4.35371977521418,6.15708955287984,8.33491631681925,110.655235498041,81.7421757530554,5.23011848009197,3.86354303151384,11.0260578864191,8.14506387843696
"14","GPUembedded","BFS",0,5.14076535187663,10,26.3236353479073,46,3.34661354581673,15,22.787080460446,56,5.12056737588652,6.80899666139518,66.8299495743961,342.207259522794,162.705223386895,833.143058761265,36.611189764608,187.470063901042,23558.2255244704,120631.48105438,13.3864541832669,91.1483218417841,26.7729083665339,182.296643683568,46.8525896414343,319.019126446245,10.5418326693227,71.779303450405,4718.85896414343,32130.6949324473,1.40530296291473,1.48268907843677,0.925791574729775,1.25027745704168,5.06689189035054,5.34591149787421,7.90600016546355,8.34136154892837,3.75027394465682,3.95679107326127,95.1321602691779,100.370823061991,2.50055491408335,1.85158314945955,2.61853400182719,3.53631867295536,46.9485428140841,34.7639359074443,2.21902235606084,1.64311704558683,4.67810988265692,3.46399488420074
"15","CPU","CED",0,19.2140662442481,28,17.828611752253,26,3.36653386454183,28,6.59913850134517,30,0.927893738140418,1.96021747199721,249.782861175225,231.771952779289,608.125196630452,564.275561958807,136.837567418074,126.970721949598,88050.9563928787,81701.9310742271,13.4661354581673,26.3965540053807,26.9322709163347,52.7931080107614,47.1314741035856,92.3879390188324,10.6045816733068,20.7872862792373,4746.94741035856,9305.04925243675,1.62362861785288,1.62303603101688,0.679623753421803,0.919261487404747,5.85407623397927,5.85193963175694,9.13426389906149,9.13093010432325,4.33291059794219,4.33132918594092,109.911742853541,109.871627613381,1.83852297480949,1.35924750684361,1.92226625880004,2.60006412571011,34.518727867715,25.5202112981299,1.63152729030519,1.2062125043199,3.43956153472477,2.54291923721772
"16","CPU","SC",0,426.57414621955,110,19.4692815454051,5,130.876494023904,105,6.85435380250217,3,0.0456410256410256,0.0523726881104428,5545.46390085415,253.100660090266,13501.0717278488,616.202760912071,3037.94978897811,138.655144214898,1954831.4796901,89220.5136884198,523.505976095617,27.4174152100087,1047.01195219123,54.8348304200173,1832.27091633466,95.9609532350304,412.260956175299,21.5912144778818,184541.091633466,9664.91303568016,3.85973060778861,3.86763990011553,2.18822637342542,2.96263877692913,13.9164566158596,13.944973974897,21.7142008727644,21.7586972326921,10.3003035742282,10.3214107758189,261.284947421175,261.8203679569,5.92527755385825,4.37645274685085,6.18923882968145,8.37960787749122,111.248565410779,82.1689929711714,5.25816221184521,3.88371654260026,11.0851792640398,8.18759337406079
"17","CPU","BFS",0,6.23454521397804,66,2.74174152100087,29,5.1792828685259,42,5.8699519266109,26,0.439766081871345,1.13335225659949,81.0490877817145,35.6426397730113,197.323356022405,86.7761191396774,44.4008046081416,19.5259678744576,28570.6139339322,12564.3869463842,20.7171314741036,23.4798077064436,41.4342629482072,46.9596154128872,72.5099601593625,82.1793269725526,16.3147410358566,18.4903485688243,7302.99601593625,8276.86701459843,0.60240212198832,0.602657168714231,0.688281729895422,0.931293709790279,2.1719917392772,2.17291132332511,3.38901390077281,3.39044875112926,1.60760564939893,1.60828628205686,40.7796871762256,40.7969525963135,1.86258741958056,1.37656345979084,1.94675471430344,2.63409638987633,34.9705438263522,25.8453226379095,1.65288236658543,1.22157888819334,3.4845819884929,2.57531441884475
"18","CPU+GPU","CED",0,16.4431572602579,45,16.4431572602579,45,2.64940239043825,12,8.45856426691757,21,1,3.1926310240546,213.761044383352,213.761044383352,520.425927287161,520.425927287161,117.103876481122,117.103876481122,75352.9057555755,75352.9057555755,10.597609561753,33.8342570676703,21.195219123506,67.6685141353405,37.0916334661354,118.419899736846,8.34561752988048,26.6444774407903,3735.76334661354,11926.9139589244,1.18479283637836,1.18479283637836,0.920957120930338,1.2439265880917,4.27183132236459,4.27183132236459,6.6654469588674,6.6654469588674,3.16180768228795,3.16180768228795,80.2046996060869,80.2046996060869,2.4878531761834,1.84191424186068,2.60486010156753,3.51835570295154,46.7100645138273,34.5823997532832,2.20775068184081,1.63453674127128,4.65434710693781,3.44590601443106
"19","CPU+GPU","SC",0,196.515781890887,29,11.3023919083812,9,96.8127490039841,138,14.1462195498449,11,0.0575139146567718,0.146119387119797,2554.70516458153,146.931094808956,6219.72449684656,357.720703900266,1399.53413355487,80.492686716514,900559.117566634,51794.6802311051,387.250996015936,56.5848781993796,774.501992031872,113.169756398759,1355.37848605578,198.047073697829,304.96015936255,44.5605915820114,136509.848605578,19946.7354140633,5.10218015508053,2.19644330567087,1.64165844161929,2.222695272589,18.3961721657977,7.91938896224594,28.7040148742211,12.3568238282572,13.6159773383361,5.86155748443629,345.392725301463,148.688504963981,4.44539054517799,3.28331688323859,4.64331126584457,6.28673159903584,83.46331734615,61.6450942135934,3.94489276984645,2.91365469516562,8.31656418523013,6.14252343464463
"20","CPU+GPU","BFS",0,13.0159803590068,8,21.1099513385572,13,1,3,18.9223916143544,31,1.6218487394958,18.9223916143544,169.207744667088,274.429367401244,411.955778362564,668.129959865336,92.69641663805,150.339566480199,59647.4220725952,96739.0963026124,4,75.6895664574176,8,151.379132914835,14,264.913482600961,3.15,59.6055335852163,1410.04,26681.3290719043,2.50005475307943,2.49762947708116,1.13160652761167,1.5313104194869,9.01407560369535,9.00533114672644,14.0648912107312,14.0512470123273,6.67179280775352,6.66532057391859,169.241519962627,169.077340599847,3.06262083897381,2.26321305522333,3.20066659723669,4.33119992688322,57.5014708823448,42.4923901579251,2.71780638431288,2.00840235012808,5.72963894251707,4.2340839229598
"21","FPGA","MNIST Double",0,7.80442804428044,258,NA,NA,3.78024193548387,39,NA,NA,NA,NA,101.457564575646,NA,247.010147601476,NA,55.5811005902214,NA,35764.8060885609,NA,15.1209677419355,NA,30.241935483871,NA,52.9233870967742,NA,11.9077620967742,NA,5330.29233870968,NA,0.340891960282013,NA,0.61021596469873,NA,1.22910344219023,NA,1.9178013321803,NA,0.909724287449746,NA,23.0767239917863,NA,NA,1.22043192939746,1.72595138650705,NA,NA,22.9139141741248,NA,1.08302589962363,NA,2.28321907184239
"22","FPGA","MNIST Single",0,3.33948339483395,198,NA,NA,1,41,NA,NA,NA,NA,43.4132841328413,NA,105.694649446494,NA,23.7829295669742,NA,15303.6167896679,NA,4,NA,8,NA,14,NA,3.15,NA,1410.04,NA,0.254544149983611,NA,0.306100573301668,NA,0.917771984635307,NA,1.43202294807253,NA,0.679291454326975,NA,17.2313981474839,NA,NA,0.612201146603336,0.865783164426797,NA,NA,11.4942293729527,NA,0.54327462399156,NA,1.14532347118992
